,64B,16B,% change (16B vs 64B),rel change (16B vs 64B)
os_unfair_lock_assert_not_owner,1105336,1108249,0.2635397743310631,2913
strchr,115876,118712,2.447443819255066,2836
EVP_des_ede3,118124,120828,2.2891199078934004,2704
EVP_des_ede3_cfb64,162039,164661,1.618128968951919,2622
function_cmp,155918,158501,1.6566400287330518,2583
tiny_malloc_from_free_list,398417,400916,0.6272322717153134,2499
bio_open_default,372704,375087,0.6393813857645746,2383
lsl::EphemeralAllocator::reset(),424714,427040,0.5476626624034057,2326
aes_128_siv_get_params,241666,243872,0.9128301043589085,2206
EVP_camellia_192_cbc,161911,164001,1.2908326179197214,2090
ossl_sa_new,451959,454041,0.4606612546713308,2082
camellia_256_ctr_get_params,253541,255545,0.7904047077198559,2004
BIO_next,347748,349750,0.5757042456031379,2002
ossl_store_cleanup_int,166378,168245,1.1221435526331607,1867
dyld3::kdebug_trace_dyld_enabled(unsigned int),342214,344038,0.5329998188268159,1824
EVP_bf_cbc,105126,106877,1.6656203032551415,1751
EVP_aes_256_cfb128,155125,156836,1.1029814665592264,1711
rack_region_insert,869876,871577,0.19554511217690795,1701
OPENSSL_LH_get_down_load,902623,904321,0.1881184060233342,1698
ossl_comp_zstd_cleanup,164246,165875,0.9918049754636338,1629
EVP_PKEY_asn1_get_count,211752,213375,0.7664626544259322,1623
EVP_shake128,119203,120792,1.3330201421105172,1589
EVP_CIPHER_get_key_length,254584,256169,0.6225842943782799,1585
EVP_md5_sha1,120245,121754,1.2549378352530252,1509
OPENSSL_sk_delete,1425797,1427297,0.10520431730463733,1500
aes_192_gcm_get_params,233832,235331,0.6410585377536009,1499
ossl_property_has_optional,257465,258955,0.5787194375934593,1490
tiny_free_list_remove_ptr,1877867,1879328,0.07780103702764893,1461
ossl_indicator_set_callback_new,266628,268084,0.5460791814813148,1456
EVP_sm4_cfb128,139419,140870,1.0407476742768202,1451
ossl_child_prov_ctx_new,208579,210003,0.6827149425397572,1424
EVP_rc2_ofb,107669,109081,1.311426687347333,1412
ENGINE_set_ctrl_function,220207,221583,0.6248666027873774,1376
OSSL_STORE_LOADER_set_expect,255460,256836,0.5386361857042199,1376
CRYPTO_THREAD_get_current_id,208748,210120,0.657251806005327,1372
lsl::Vector<dyld4::Loader const*>::reserveExact(unsigned long),465959,467330,0.2942318959393423,1371
aria_256_cfb1_get_params,234207,235541,0.5695816094309735,1334
ossl_stored_namemap_free,213083,214375,0.6063364979843535,1292
EVP_cast5_ecb,135794,137084,0.9499683343888538,1290
EVP_sha3_512,116626,117916,1.1060998405158369,1290
EVP_camellia_256_cfb128,185669,186958,0.6942462123456258,1289
EVP_aes_256_ccm,130044,131333,0.9912029774537848,1289
_platform_strnlen,372085,373374,0.34642621981536476,1289
