,64B,16B,% change (16B vs 64B),rel change (16B vs 64B)
OBJ_nid2obj,3151261,3342379,6.064810245803188,191118
__read_nocancel,851832,1023749,20.182031198640107,171917
doapr_outch,14969525,15065063,0.6382166434806715,95538
"invocation function for block in dyld3::MachOFile::forEachSegment(void (dyld3::MachOFile::SegmentInfo const&, bool&) block_poin",1108960,1179125,6.327099264175444,70165
_platform_strlen,23030267,23098346,0.29560664667934594,68079
"invocation function for block in dyld3::MachOLoaded::getLinkEditLoadCommands(Diagnostics&, dyld3::MachOLoaded::LinkEditInfo&) c",825711,888207,7.568749841046079,62496
_platform_memset,25422819,25470847,0.1889168939132989,48028
pthread_rwlock_wrlock,6646209,6691522,0.6817871661875213,45313
SortFnByName,3350396,3387359,1.1032427211589317,36963
"invocation function for block in dyld3::MachOLoaded::findClosestSymbol(unsigned long long, char const**, unsigned long long*) c",397458,423627,6.584091904050239,26169
ossl_isdigit,3960538,3983078,0.5691146000871599,22540
"invocation function for block in dyld4::JustInTimeLoader::contains(dyld4::RuntimeState&, void const*, void const**, unsigned lo",296168,315294,6.4578212365954455,19126
OPENSSL_LH_error,924084,940334,1.758498145190264,16250
get_tiny_previous_free_msize,36001,51375,42.70436932307436,15374
strncmp,276251,290494,5.155818440476233,14243
"invocation function for block in dyld3::MachOFile::getEntry(unsigned long long&, bool&) const",186709,200501,7.386896186043522,13792
tiny_free_list_remove_ptr,27498,41209,49.861808131500474,13711
_Block_object_dispose,210706,223665,6.1502757396562036,12959
_kernelrpc_mach_vm_deallocate_trap,16291,28542,75.20103124424529,12251
OPENSSL_sk_push,1962811,1973610,0.5501803281110611,10799
OPENSSL_sk_num,1998747,2008577,0.49180811778579286,9830
ossl_rcu_assign_uptr,1395256,1405006,0.6987964932600182,9750
__open,26250,35709,36.034285714285716,9459
tiny_free_list_add_ptr,61081,70210,14.945727804063457,9129
Diagnostics::Diagnostics(bool),146585,155498,6.080431149162601,8913
_tiny_check_and_zero_inline_meta_from_freelist,51876,60708,17.025213971778857,8832
"dyld3::kdebug_trace_dyld_duration_end(unsigned long long, unsigned int, dyld3::kt_arg, dyld3::kt_arg, dyld3::kt_arg)",80374,88166,9.694677383233383,7792
Diagnostics::assertNoError() const,107833,115456,7.069264510864021,7623
EVP_CIPHER_free,621299,628581,1.1720604732986855,7282
"invocation function for block in dyld3::MachOFile::getDylibInstallName(char const**, unsigned int*, unsigned int*) const",81416,88083,8.18880809668861,6667
__open_nocancel,128209,134875,5.199322980445991,6666
CRYPTO_atomic_load,3258732,3265385,0.20415916374835366,6653
small_malloc_from_free_list,40167,46332,15.348420345059377,6165
_qsort,64790,70458,8.748263620929157,5668
"dyld4::LibSystemHelpers::os_unfair_lock_lock_with_options(os_unfair_lock_s*, os_unfair_lock_options_t) const",59082,64626,9.383568599573474,5544
"dyld4::Loader::contains(dyld4::RuntimeState&, void const*, void const**, unsigned long long*, unsigned char*) const",95876,101416,5.778296966915599,5540
Diagnostics::~Diagnostics(),142625,147833,3.6515337423312886,5208
strcmp,70246,75251,7.1249608518634515,5005
small_free_list_find_by_ptr,29999,34833,16.113870462348746,4834
ASN1_OBJECT_free,499078,503372,0.8603865528033694,4294
function_hash,474785,478999,0.8875596322545994,4214
mach_msg2_trap,24542,28459,15.96039442588216,3917
_pthread_mutex_firstfit_lock_slow,2203800,2207627,0.1736545966058626,3827
dyld4::LibSystemHelpers::os_unfair_lock_unlock(os_unfair_lock_s*) const,40958,44749,9.255823038234288,3791
os_unfair_lock_lock_with_options,172961,176582,2.0935355369129454,3621
dyld4::Loader::loadAddress(dyld4::RuntimeState&) const,25000,28375,13.5,3375
ossl_sa_set,246169,249497,1.3519167726236854,3328
"dyld4::RuntimeState::PermanentRanges::contains(unsigned long, unsigned long, unsigned char*, dyld4::Loader const**) const",50500,53791,6.516831683168317,3291
dyld4::LibSystemHelpers::os_unfair_recursive_lock_unlock(os_unfair_recursive_lock_s*) const,38250,41500,8.49673202614379,3250
"lsl::EphemeralAllocator::allocate_buffer(unsigned long, unsigned long, unsigned long)",62875,65959,4.904970178926441,3084
OSSL_PARAM_set_int,1612660,1615609,0.18286557612888024,2949
OSSL_PARAM_construct_uint,564546,567461,0.5163441065918455,2915
_pthread_mutex_firstfit_unlock_slow,2291254,2294126,0.12534620779712768,2872
__getrlimit,3959,6791,71.5332154584491,2832
OSSL_PARAM_set_size_t,1115207,1117951,0.2460529749185577,2744
Diagnostics::noError() const,45460,48167,5.95468543774747,2707
"dyld3::OverflowSafeArray<unsigned int, 4294967295ul>::verifySpace(unsigned long)",95957,98585,2.7387267213439355,2628
ossl_tolower,59852582,59855180,0.004340664868894044,2598
OPENSSL_LH_doall,327697,330206,0.765646313515229,2509
OBJ_get0_data,325379,327830,0.7532754111359369,2451
"lsl::AllocationMetadata::AllocationMetadata(lsl::Allocator*, unsigned long)",33084,35460,7.1817192600652895,2376
dyld4::JustInTimeLoader::loadAddress(dyld4::RuntimeState&) const,28875,31209,8.083116883116883,2334
ossl_provider_free,462252,464542,0.49540077706532365,2290
os_unfair_lock_assert_not_owner,21666,23750,9.618757500230776,2084
ossl_lh_strcasehash,3664943,3667013,0.05648109670464179,2070
free,203438,205501,1.014068168188834,2063
"dyld4::LibSystemHelpers::os_unfair_recursive_lock_lock_with_options(os_unfair_recursive_lock_s*, os_unfair_lock_options_t) cons",54250,56292,3.7640552995391707,2042
dyld4::DyldCacheDataConstLazyScopedWriter::DyldCacheDataConstLazyScopedWriter(dyld4::RuntimeState&),14000,16000,14.285714285714285,2000
FMT_istext,18834,20833,10.613783582882022,1999
OPENSSL_hexchar2int,235790,237748,0.8303999321430087,1958
Diagnostics::hasError() const,41335,43210,4.536107415023588,1875
__chkstk_darwin_probe,20375,22250,9.202453987730062,1875
ossl_provider_up_ref,489791,491542,0.35749942322337486,1751
"dyld3::MachOFile::read_uleb128(Diagnostics&, unsigned char const*&, unsigned char const*)",52166,53917,3.3565924165165053,1751
os_unfair_lock_unlock,127127,128874,1.3742163348462562,1747
OSSL_PARAM_set_uint,339038,340759,0.5076127159787398,1721
"invocation function for block in dyld4::Loader::forEachPath(Diagnostics&, dyld4::RuntimeState&, char const*, dyld4::Loader::Loa",17666,19375,9.673949960375863,1709
dyld4::Loader::matchesPath(char const*) const,21209,22875,7.855155830072139,1666
dyld3::ScopedTimer::endTimer(),26290,27876,6.03271205781666,1586
kdebug_is_enabled,18458,19958,8.126557590204788,1500
"dyld4::Loader::loadDependents(Diagnostics&, dyld4::RuntimeState&, dyld4::Loader::LoadOptions const&)",13750,15209,10.61090909090909,1459
lsl::MemoryManager::lockGuard(),27833,29208,4.940178924298495,1375
file_new,16002,17375,8.580177477815273,1373
"dyld4::JustInTimeLoader::loadDependents(Diagnostics&, dyld4::RuntimeState&, dyld4::Loader::LoadOptions const&)",15708,17042,8.49248790425261,1334
pthread_cond_signal,102043,103293,1.224973785560989,1250
os_unfair_recursive_lock_unlock,16375,17625,7.633587786259542,1250
pthread_setspecific,46001,47209,2.6260298689158934,1208
ossl_property_name,27877,29085,4.3333213760447675,1208
lsl::EphemeralAllocator::~EphemeralAllocator(),14417,15625,8.378997017410002,1208
__fcntl,5250,6417,22.228571428571428,1167
dyld3::MachOFile::is64() const,15917,17083,7.325501036627505,1166
realloc,60415,61542,1.8654307705040138,1127
evp_cipher_free,573594,574714,0.19526006199506968,1120
nanov2_size,111413,112498,0.9738540385771858,1085
dyld4::Loader::path() const,14751,15834,7.3418751271100255,1083
pthread_mutex_init,25042,26042,3.993291270665282,1000
OSSL_PARAM_construct_int,2737285,2738257,0.03550963819989515,972
lsl::EphemeralAllocator::deallocate_buffer(lsl::MemoryManager::Buffer),21083,22042,4.5486885168144955,959
dyld4::Loader::hiddenFromFlat(bool) const,6708,7667,14.296362552176506,959
ossl_ctype_check,167749,168707,0.5710913328842497,958
dyld4::RuntimeState::incDlRefCount(dyld4::Loader const*),8834,9750,10.369028752546978,916
dyld4::JustInTimeLoader::beginInitializers(dyld4::RuntimeState&),9625,10500,9.090909090909092,875
property_hash,88375,89250,0.9900990099009901,875
set_tiny_meta_header_in_use,65042,65876,1.2822483933458382,834
dyld4::LibSystemHelpers::pthread_getspecific(unsigned long) const,20625,21458,4.038787878787878,833
dyld4::RuntimeState::notifyObjCPatching(),6750,7500,11.11111111111111,750
lsl::Vector<dyld4::Loader const*>::reserveExact(unsigned long),9083,9833,8.25718374986238,750
dyld4::RuntimeState::doSingletonPatching(dyld4::DyldCacheDataConstLazyScopedWriter&),12250,13000,6.122448979591836,750
___chkstk_darwin,22460,23208,3.3303650934995552,748
_pthread_mutex_unlock_init_slow,2089668,2090401,0.035077342429515115,733
lsl::Lock::lock(),8334,9042,8.495320374370051,708
szone_malloc,54960,55668,1.2882096069868996,708
EVP_add_cipher,13085,13792,5.403133358807795,707
err_unshelve_state,7666,8333,8.70075658752935,667
Diagnostics::clearError(),5000,5666,13.320000000000002,666
DSO_METHOD_openssl,9625,10290,6.909090909090909,665
pthread_getspecific,1149623,1150281,0.0572361548090113,658
"dyld4::handleFromLoader(dyld4::Loader const*, bool)",7291,7917,8.585927856261144,626
pthread_mutex_destroy,17584,18168,3.3212010919017287,584
BUF_MEM_new,300836,301414,0.1921312608863301,578
OPENSSL_LH_flush,329542,330085,0.16477414108065133,543
medium_malloc_from_free_list,5875,6417,9.225531914893617,542
EVP_des_cfb64,3041,3583,17.82308451167379,542
lsl::EphemeralAllocator::reset(),8125,8667,6.67076923076923,542
dyld4::Loader::beginInitializers(dyld4::RuntimeState&),8417,8959,6.439348936675775,542
pthread_cond_init,19042,19584,2.8463396702027097,542
signal,3000,3541,18.033333333333335,541
dyld3::kdebug_trace_dyld_enabled(unsigned int),6583,7083,7.595321282090232,500
EVP_aes_192_ofb,2500,3000,20.0,500
small_free_list_add_ptr,48042,48541,1.0386744931518255,499
EVP_aes_192_wrap,2791,3250,16.44571838050878,459
EVP_des_ede_cfb64,3083,3542,14.8880960103795,459
szone_try_free_default,76957,77416,0.5964369712956585,459
