,64B,16B,% change (16B vs 64B),rel change (16B vs 64B)
dyld4::BumpAllocator::~BumpAllocator(),7042,7500,6.503834138028969,458
pthread_rwlock_destroy,121083,121540,0.377427054169454,457
EVP_CIPHER_get_nid,365502,365957,0.12448632292025762,455
DSO_free,14166,14584,2.9507270930396725,418
dyld4::JustInTimeLoader::hiddenFromFlat(bool) const,8000,8417,5.2124999999999995,417
ossl_indicator_set_callback_new,5292,5709,7.879818594104308,417
getegid,5542,5959,7.5243594370263445,417
_NSGetEnviron,15124,15541,2.757207088071939,417
_kernelrpc_mach_port_construct_trap,7792,8209,5.351642710472279,417
aes_cts_256_cbc_get_params,4708,5125,8.857264231096007,417
EVP_aes_192_cfb8,2667,3083,15.598050243719536,416
aes_256_siv_get_params,4584,5000,9.07504363001745,416
BN_free,476832,477217,0.08074122542111267,385
EVP_camellia_256_ecb,3166,3542,11.876184459886293,376
ossl_lib_ctx_is_default,3708,4084,10.140237324703344,376
ossl_aes_192_gcm_siv_get_params,5583,5959,6.734730431667563,376
vm_deallocate,2833,3209,13.27214966466643,376
EVP_aes_192_ccm,2458,2833,15.256305939788446,375
EVP_aria_128_ctr,2750,3125,13.636363636363635,375
aria_192_ctr_get_params,4208,4583,8.911596958174906,375
__bzero,14500,14875,2.586206896551724,375
EVP_aes_192_wrap_pad,3042,3416,12.294543063773833,374
OSSL_PARAM_locate_const,397001,397369,0.09269498061717728,368
sa_doall,14457,14792,2.3172165732862973,335
ossl_lib_ctx_get_ex_data_global,10833,11167,3.0831717899012276,334
dyld4::JustInTimeLoader::path() const,19125,19459,1.74640522875817,334
ossl_cipher_capable_aes_cbc_hmac_sha256,12541,12875,2.663264492464716,334
ossl_prov_ctx_set0_libctx,3875,4208,8.593548387096774,333
EVP_aes_256_ocb,2459,2792,13.54209028060187,333
close,4250,4583,7.8352941176470585,333
EVP_aes_256_ofb,2459,2792,13.54209028060187,333
EVP_aes_128_cbc_hmac_sha1,5084,5417,6.549960660896932,333
EVP_aes_128_cbc_hmac_sha256,5125,5458,6.4975609756097565,333
EVP_camellia_192_cfb1,3167,3500,10.514682664982633,333
camellia_cbc_cts_gettable_ctx_params,15375,15708,2.165853658536585,333
ossl_bio_core_globals_new,4584,4916,7.242582897033159,332
ossl_sa_new,8749,9042,3.348954166190422,293
aria_256_cfb8_get_params,4416,4708,6.61231884057971,292
EVP_aria_128_gcm,3000,3292,9.733333333333333,292
tdes_wrap_get_params,4500,4792,6.488888888888889,292
EVP_aes_256_cbc_hmac_sha256,4833,5125,6.041795985930064,292
EVP_bf_cbc,2042,2333,14.25073457394711,291
free_small,8833,9124,3.2944639420355486,291
camellia_192_ofb_get_params,4959,5250,5.8681185722928015,291
tdes_ede3_cfb8_get_params,4750,5041,6.126315789473684,291
EVP_PKEY_asn1_get0,42375,42626,0.5923303834808259,251
EVP_aes_192_ocb,2583,2834,9.717382888114596,251
EVP_camellia_192_cfb8,3208,3458,7.793017456359102,250
ossl_prov_ctx_get0_core_bio_method,5375,5625,4.651162790697675,250
ossl_prov_seeding_from_dispatch,6125,6375,4.081632653061225,250
ossl_rcu_write_lock,41750,42000,0.5988023952095809,250
EVP_aria_256_ofb,2583,2833,9.678668215253582,250
tdes_ede3_cfb_get_params,4750,5000,5.263157894736842,250
ossl_method_lock_store,4000,4250,6.25,250
camellia_cts_256_cbc_get_params,5542,5792,4.511006856730422,250
ossl_lib_ctx_get_concrete,8416,8666,2.970532319391635,250
aes_128_cfb8_get_params,4625,4875,5.405405405405405,250
aes_192_ecb_get_params,4125,4375,6.0606060606060606,250
EVP_sha3_256,2583,2833,9.678668215253582,250
tdes_ede2_cbc_get_params,4500,4750,5.555555555555555,250
EVP_aes_128_cfb128,3084,3333,8.073929961089494,249
NCONF_get0_libctx,4042,4291,6.160316674913409,249
camellia_128_cbc_get_params,4834,5083,5.151013653289201,249
aes_192_ctr_get_params,4167,4416,5.97552195824334,249
OPENSSL_cpuid_setup,4542,4791,5.48216644649934,249
ossl_bio_core_globals_free,4459,4708,5.584211706660686,249
camellia_192_cfb1_get_params,5000,5209,4.18,209
EVP_shake128,2291,2500,9.122653862941947,209
EVP_idea_ecb,2375,2584,8.799999999999999,209
ossl_self_test_set_callback_new,5458,5667,3.8292414803957495,209
aria_128_cfb_get_params,4375,4584,4.777142857142857,209
BIO_set_init,8666,8875,2.4117239787675975,209
EVP_camellia_256_cfb128,3666,3875,5.701036552100382,209
EVP_aes_128_cbc,2541,2750,8.225108225108226,209
ossl_prov_ctx_new,3500,3709,5.9714285714285715,209
tdes_ede3_cfb1_get_params,4958,5166,4.195240016135539,208
EVP_sha384,2083,2291,9.985597695631302,208
aes_cts_128_cbc_get_params,4667,4875,4.456824512534819,208
EVP_aes_256_wrap_pad,3125,3333,6.656,208
EVP_des_ede3_cfb8,2667,2875,7.799025121859768,208
EVP_camellia_128_ofb,3292,3500,6.318347509113001,208
ENGINE_register_EC,7417,7625,2.8043683429958204,208
aes_256_cfb_get_params,4167,4375,4.991600671946244,208
NCONF_default,2750,2958,7.563636363636364,208
null_gettable_ctx_params,4209,4417,4.941791399382276,208
BIO_set_flags,10166,10374,2.0460358056265986,208
EVP_des_ede3_cfb64,3041,3209,5.52449852022361,168
OSSL_LIB_CTX_get_conf_diagnostics,10250,10418,1.6390243902439026,168
NCONF_get_section,11499,11667,1.4609966084007304,168
BIO_meth_set_read_ex,4208,4375,3.9686311787072244,167
OPENSSL_LH_get_down_load,17833,18000,0.936466102170134,167
EVP_aria_128_cfb1,3125,3292,5.344,167
chacha20_poly1305_gettable_ctx_params,5333,5500,3.1314457153572097,167
EVP_sha512,2042,2209,8.178256611165525,167
EVP_cast5_ecb,2750,2917,6.072727272727272,167
ossl_prov_cipher_hw_aes_ctr,4792,4959,3.484974958263773,167
tdes_ede2_ecb_get_params,4583,4750,3.6439013746454285,167
camellia_192_ecb_get_params,4917,5084,3.39637990644702,167
EVP_aes_128_wrap_pad,3291,3458,5.074445457307809,167
EVP_aes_128_ctr,2500,2667,6.68,167
EVP_aes_256_cbc_hmac_sha1,4750,4917,3.5157894736842104,167
EVP_aria_256_cbc,2667,2833,6.224221972253469,166
EVP_aes_256_gcm,2459,2625,6.750711671411143,166
UI_method_set_reader,3209,3375,5.1729510751012775,166
ossl_child_prov_ctx_new,4167,4333,3.98368130549556,166
EVP_aria_192_cfb8,2917,3083,5.6907781967775115,166
engine_pkey_asn1_meths_free,5125,5291,3.2390243902439027,166
EVP_des_ede3,2292,2458,7.242582897033159,166
EVP_aes_192_cfb1,2834,3000,5.857445306986592,166
COMP_get_type,2500,2666,6.64,166
aes_128_cbc_get_params,4334,4500,3.830179972311952,166
EVP_aria_192_ccm,2625,2791,6.3238095238095235,166
getgid,5750,5876,2.1913043478260867,126
EVP_RAND_CTX_free,6167,6293,2.0431328036322363,126
EVP_aria_128_ecb,2791,2917,4.514510927982802,126
aes_256_ctr_get_params,4166,4292,3.0244839174267883,126
opt_next,2291,2417,5.4997817546922745,126
sigaction,1916,2042,6.576200417536534,126
ossl_init_thread_deregister,5166,5292,2.4390243902439024,126
aes_256_cfb1_get_params,4583,4708,2.7274710888064586,125
camellia_192_cfb_get_params,5084,5209,2.4586939417781273,125
ossl_cipher_generic_set_ctx_params,10000,10125,1.25,125
camellia_256_cfb1_get_params,5000,5125,2.5,125
OSSL_trace_set_channel,4500,4625,2.7777777777777777,125
pd_free,1750,1875,7.142857142857142,125
EVP_rc4,2041,2166,6.124448799608035,125
EVP_idea_cfb64,2541,2666,4.919323101141283,125
EVP_camellia_128_cbc,3250,3375,3.8461538461538463,125
EVP_sha1,2125,2250,5.88235294117647,125
EVP_aria_192_cfb128,2958,3083,4.2258282623394186,125
EVP_bf_ofb,2125,2250,5.88235294117647,125
EVP_aes_128_wrap,2917,3042,4.285224545766198,125
EVP_aria_256_cfb128,2875,3000,4.3478260869565215,125
EVP_aes_128_xts,2875,3000,4.3478260869565215,125
EVP_camellia_192_ofb,3042,3167,4.10913872452334,125
EVP_des_ede3_cfb1,2833,2958,4.412283798093894,125
EVP_aria_128_ofb,2667,2792,4.6869141357330335,125
EVP_md5_sha1,2625,2750,4.761904761904762,125
EVP_des_cfb1,2458,2583,5.085435313262816,125
EVP_des_ofb,1958,2083,6.384065372829417,125
EVP_des_ecb,1958,2083,6.384065372829417,125
sm4_128_ecb_get_params,4709,4833,2.633255468252283,124
camellia_256_cbc_get_params,4917,5041,2.5218629245474884,124
_pthread_mutex_check_init_slow,33793,33917,0.36693989879560857,124
EVP_desx_cbc,2542,2666,4.878048780487805,124
aria_192_cfb8_get_params,4459,4583,2.780892576810944,124
OSSL_CMP_log_close,4459,4583,2.780892576810944,124
ossl_prov_ctx_set0_handle,3709,3833,3.343219196548935,124
openssl_fopen,7792,7916,1.5913757700205338,124
OSSL_PARAM_construct_size_t,1804046,1804167,0.006707146048382358,121
BIO_next,6791,6876,1.2516566043292594,85
opt_unknown,2125,2209,3.9529411764705884,84
EVP_blake2s256,2375,2459,3.536842105263158,84
EVP_camellia_192_cfb128,3625,3709,2.3172413793103446,84
EVP_aes_256_xts,2458,2542,3.4174125305126117,84
sm4_128_xts_get_params,4583,4667,1.83286057167794,84
ossl_random_add_conf_module,4583,4667,1.83286057167794,84
init_thread_stop,3458,3542,2.42914979757085,84
EVP_aria_192_gcm,2708,2792,3.10192023633678,84
ossl_rand_cleanup_int,4750,4834,1.768421052631579,84
EVP_aes_128_cfb1,2791,2875,3.009673951988535,84
aria_128_ctr_get_params,4500,4584,1.866666666666667,84
UI_OpenSSL,2083,2167,4.0326452232357175,84
aes_192_gcm_get_params,4541,4625,1.8498128165602292,84
EVP_camellia_128_cfb1,3333,3417,2.5202520252025202,84
sm4_128_cbc_get_params,4458,4542,1.8842530282637955,84
aes_256_ccm_get_params,4500,4584,1.866666666666667,84
EVP_sha3_224,2208,2292,3.804347826086957,84
aes_256_ofb_get_params,4334,4417,1.915089986155976,83
EVP_des_ede3_wrap,2750,2833,3.018181818181818,83
EVP_aes_192_ctr,2709,2792,3.0638612033960873,83
file_ctrl,8000,8083,1.0375,83
core_get_libctx,3833,3916,2.1654056874510825,83
ossl_prov_ctx_free,3459,3542,2.3995374385660595,83
UI_method_set_closer,3167,3250,2.620776760341017,83
ERR_print_errors,3959,4042,2.0964890123768627,83
EVP_CIPHER_fetch,4042,4125,2.053438891637803,83
tdes_ede3_ofb_get_params,4834,4917,1.7170045510964005,83
aes_128_ecb_get_params,4333,4416,1.9155319639972306,83
EVP_chacha20,2375,2458,3.494736842105263,83
UI_null,2209,2292,3.7573562698053418,83
aes_v8_set_encrypt_key,4375,4458,1.8971428571428572,83
ENGINE_set_finish_function,4584,4666,1.7888307155322862,82
EVP_aes_128_ccm,2709,2791,3.0269472129937247,82
OPENSSL_sk_pop,7626,7708,1.0752688172043012,82
ENGINE_register_RSA,8168,8250,1.0039177277179236,82
ossl_config_add_ssl_module,4209,4291,1.9482062247564742,82
OSSL_ERR_STATE_new,4416,4459,0.973731884057971,43
aes_256_ecb_get_params,4833,4875,0.8690254500310366,42
dyld4::APIs::_tlv_exit(),3875,3917,1.0838709677419356,42
def_is_number,4874,4916,0.8617152236356176,42
camellia_128_cfb1_get_params,5167,5209,0.8128507838203988,42
aes_192_cfb_get_params,4250,4292,0.9882352941176471,42
aes_256_cbc_get_params,4250,4292,0.9882352941176471,42
query_hash,3000,3042,1.4000000000000001,42
EVP_sha3_512,2250,2292,1.866666666666667,42
function_cmp,3000,3042,1.4000000000000001,42
ossl_property_match_count,5125,5167,0.8195121951219513,42
EVP_aria_128_ccm,3041,3083,1.3811246300559026,42
EVP_mdc2,2250,2292,1.866666666666667,42
camellia_192_cfb8_get_params,5125,5167,0.8195121951219513,42
ossl_comp_zstd_cleanup,3250,3292,1.2923076923076922,42
camellia_128_cfb8_get_params,5000,5042,0.84,42
camellia_128_ecb_get_params,5000,5042,0.84,42
ENGINE_get_cipher_engine,5083,5125,0.8262836907338187,42
aes_siv_gettable_ctx_params,12125,12167,0.3463917525773196,42
EVP_aes_192_cfb128,3000,3042,1.4000000000000001,42
ENGINE_register_DSA,8041,8083,0.5223230941425197,42
EVP_aes_192_ecb,2458,2500,1.7087062652563059,42
EVP_aes_256_ccm,2500,2542,1.68,42
aes_192_ofb_get_params,4375,4417,0.96,42
ossl_lib_ctx_write_lock,3708,3750,1.132686084142395,42
lh_FUNCTION_free,2708,2750,1.55096011816839,42
aes_192_wrappadinv_get_params,5333,5375,0.7875492218263641,42
ossl_method_unlock_store,4166,4208,1.0081613058089294,42
EVP_aria_192_cbc,2708,2750,1.55096011816839,42
EVP_sm4_ecb,2458,2500,1.7087062652563059,42
camellia_192_cbc_get_params,5167,5208,0.7934971937294368,41
free_medium,3709,3750,1.1054192504718252,41
EVP_camellia_192_ecb,3417,3458,1.199882938249927,41
aes_128_ocb_get_params,4417,4458,0.9282318315598823,41
EVP_camellia_128_ecb,3834,3875,1.069379238393323,41
camellia_256_ofb_get_params,5250,5291,0.780952380952381,41
aes_256_wrappad_get_params,4917,4958,0.8338417734390889,41
UI_method_set_opener,3584,3625,1.1439732142857142,41
ossl_cipher_generic_reset_ctx,4459,4500,0.9194886745907155,41
sm4_128_gcm_get_params,4750,4791,0.8631578947368421,41
EVP_des_cbc,2209,2250,1.8560434585785424,41
OPENSSL_sk_delete,28459,28500,0.1440669032643452,41
UI_method_set_writer,3167,3208,1.2946005683612252,41
EVP_aes_192_cbc,2417,2458,1.696317749275962,41
EVP_whirlpool,2917,2958,1.405553651011313,41
ossl_rcu_write_unlock,44833,44873,0.08921999420070037,40
_platform_memmove,6475571,6475576,7.72132681426858e-05,5
OSSL_PARAM_construct_end,547289,547290,0.00018271881949025106,1
tdes_ede2_ofb_get_params,4916,4917,0.02034174125305126,1
EVP_bf_cfb64,2458,2459,0.04068348250610252,1
EVP_rc4_hmac_md5,2916,2917,0.034293552812071325,1
EVP_des_cfb8,2333,2334,0.04286326618088298,1
aes_128_wrappad_get_params,4708,4709,0.021240441801189464,1
EVP_sha512_224,2333,2334,0.04286326618088298,1
ossl_self_test_set_callback_free,4958,4959,0.02016942315449778,1
EVP_aria_192_ecb,2666,2667,0.037509377344336084,1
aria_128_ccm_get_params,4833,4834,0.02069108214359611,1
X509_get_default_cert_area,8124,8125,0.012309207287050716,1
ossl_comp_brotli_cleanup,3667,3667,0.0,0
camellia_cts_192_cbc_get_params,5208,5208,0.0,0
memset,5459,5459,0.0,0
EVP_des_ede,2000,2000,0.0,0
BIO_copy_next_retry,7959,7959,0.0,0
EVP_sm4_ofb,2125,2125,0.0,0
aes_128_ctr_get_params,4333,4333,0.0,0
EVP_camellia_256_cfb1,3292,3292,0.0,0
EVP_CIPHER_get_mode,6208,6208,0.0,0
ossl_comp_zlib_cleanup,3667,3667,0.0,0
EVP_CIPHER_get_flags,3250,3250,0.0,0
EVP_PKEY_asn1_get_count,4125,4125,0.0,0
EVP_camellia_256_ctr,3208,3208,0.0,0
ENGINE_set_id,2833,2833,0.0,0
EVP_aes_256_cfb1,2583,2583,0.0,0
EVP_aria_256_gcm,2583,2583,0.0,0
EVP_aria_256_ctr,2584,2584,0.0,0
ENGINE_set_name,2625,2625,0.0,0
EVP_aes_192_gcm,2625,2625,0.0,0
EVP_aria_192_ofb,2625,2625,0.0,0
EVP_MD_free,2708,2708,0.0,0
EVP_aria_192_ctr,2708,2708,0.0,0
aes_cts_192_cbc_get_params,4750,4750,0.0,0
aria_256_cfb_get_params,4542,4542,0.0,0
EVP_md4,2417,2417,0.0,0
aes_128_wrap_get_params,4791,4791,0.0,0
ENGINE_register_pkey_asn1_meths,10875,10875,0.0,0
BIO_f_cipher,2833,2833,0.0,0
aes_128_wrapinv_get_params,5500,5500,0.0,0
ASN1_add_oid_module,3666,3666,0.0,0
EVP_seed_cfb128,2834,2834,0.0,0
_cleanup,2291,2291,0.0,0
property_free,20500,20500,0.0,0
ossl_ctx_global_properties_new,5000,5000,0.0,0
EVP_des_ede_cbc,2541,2541,0.0,0
OSSL_LIB_CTX_get_data,3125,3125,0.0,0
OSSL_STORE_LOADER_set_open,4958,4958,0.0,0
aes_128_gcm_get_params,4875,4875,0.0,0
camellia_128_cfb_get_params,4958,4958,0.0,0
EVP_camellia_128_ctr,3083,3083,0.0,0
ENGINE_register_digests,9250,9249,-0.010810810810810811,-1
sm4_128_ccm_get_params,4584,4583,-0.02181500872600349,-1
OSSL_LIB_CTX_set_conf_diagnostics,5709,5708,-0.017516202487300753,-1
aes_256_xts_get_params,4834,4833,-0.02068680182043856,-1
EVP_idea_ofb,2084,2083,-0.04798464491362764,-1
ossl_prov_is_running,16584,16583,-0.00602990834539315,-1
aes_256_wrappadinv_get_params,5167,5166,-0.019353590090961874,-1
EVP_des_ede3_cbc,2709,2708,-0.03691399040236249,-1
ERR_get_error_all,3959,3958,-0.025258903763576663,-1
EVP_camellia_256_ofb,3083,3042,-1.3298734998378203,-41
BIO_meth_set_ctrl,3583,3542,-1.1442924923248674,-41
ossl_aes_128_gcm_siv_get_params,5791,5750,-0.7079951649110688,-41
aes_256_ocb_get_params,4958,4917,-0.826946349334409,-41
aes_128_cfb_get_params,4291,4250,-0.9554882311815428,-41
aes_128_cfb1_get_params,4500,4459,-0.9111111111111112,-41
OSSL_STORE_unregister_loader,4416,4375,-0.9284420289855072,-41
aria_256_ctr_get_params,4541,4500,-0.9028848271305879,-41
store_loader_cmp,3708,3667,-1.1057173678532901,-41
ENGINE_load_builtin_engines,4958,4917,-0.826946349334409,-41
aria_128_cbc_get_params,4625,4584,-0.8864864864864865,-41
aria_192_cfb_get_params,4833,4792,-0.8483343678874405,-41
BIO_meth_set_create,3833,3791,-1.0957474563005478,-42
