version: 3.4.1
built on: Tue Feb 11 14:29:27 2025 UTC
options: bn(64,64)
compiler: clang -fPIC -arch arm64 -O3 -Wall -DL_ENDIAN -DOPENSSL_PIC -D_REENTRANT -DOPENSSL_BUILDING_OPENSSL -DNDEBUG
CPUINFO: OPENSSL_armcap=0x987d
The 'numbers' are in 1000s of bytes per second processed.
type             64 bytes
AES-128-CTR      37319.28k

  aes_128_ctr_get_params                                         4292
  aes_192_cbc_get_params                                         4292
  aes_192_cfb_get_params                                         4292
  ossl_bio_core_globals_new                                      4292
  ossl_sa_num                                                    4292
  BIO_meth_set_write_ex                                          4333
  CONF_imodule_get_value                                         4333
  ERR_get_error_all                                              4333
  aes_128_ocb_get_params                                         4333
  aes_192_ecb_get_params                                         4333
  aes_192_siv_get_params                                         4333
  ossl_rand_pool_length                                          4333
  aes_128_ccm_get_params                                         4334
  aes_128_ofb_get_params                                         4334
  null_gettable_ctx_params                                       4334
  ossl_stored_namemap_free                                       4334
  ENGINE_set_ctrl_function                                       4375
  OSSL_CMP_log_close                                             4375
  OSSL_LIB_CTX_free                                              4375
  aes_192_cfb1_get_params                                        4375
  aes_256_siv_get_params                                         4375
  aria_128_ecb_get_params                                        4375
  aria_192_cbc_get_params                                        4375
  aria_192_ctr_get_params                                        4375
  aria_256_ctr_get_params                                        4375
  seed_src_enable_locking                                        4375
  aria_192_ofb_get_params                                        4416
  aria_256_cbc_get_params                                        4416
  chacha20_gettable_ctx_params                                   4416
  OPENSSL_cpuid_setup                                            4417
  aes_256_ccm_get_params                                         4417
  aria_192_ecb_get_params                                        4417
  ossl_bio_core_globals_free                                     4417
  OSSL_STORE_unregister_loader                                   4458
  aes_128_ecb_get_params                                         4458
  aes_192_ofb_get_params                                         4458
  aes_256_ctr_get_params                                         4458
  aria_256_cfb8_get_params                                       4458
  ENGINE_set_init_function                                       4459
  ossl_rand_pool_init                                            4459
  EVP_aes_256_cbc_hmac_sha1                                      4500
  OSSL_STORE_LOADER_set_eof                                      4500
  aes_128_cfb_get_params                                         4500
  aes_192_ctr_get_params                                         4500
  aria_128_cbc_get_params                                        4500
  aria_256_cfb_get_params                                        4500
  setup_engine_methods                                           4500
  sm4_128_ctr_get_params                                         4500
  aes_128_cbc_get_params                                         4541
  aes_192_ccm_get_params                                         4541
  aes_256_ofb_get_params                                         4541
  OSSL_trace_set_channel                                         4542
  aes_192_cfb8_get_params                                        4542
  aes_192_gcm_get_params                                         4542
  aes_192_ocb_get_params                                         4542
  aria_256_ofb_get_params                                        4542
  aes_256_cfb1_get_params                                        4583
  aria_128_ctr_get_params                                        4583
  aria_128_gcm_get_params                                        4583
  aria_256_cfb1_get_params                                       4583
  tdes_ede3_cbc_get_params                                       4583
  tdes_wrap_get_params                                           4583
  ERR_print_errors                                               4584
  aes_128_cfb1_get_params                                        4584
  aes_128_xts_get_params                                         4584
  aria_128_cfb8_get_params                                       4584
  pthread_cond_destroy                                           4584
  aes_128_cfb8_get_params                                        4625
  aria_128_ofb_get_params                                        4625
  aria_192_cfb1_get_params                                       4625
  aria_192_cfb8_get_params                                       4625
  sm4_128_cbc_get_params                                         4625
  aria_192_cfb_get_params                                        4666
  ENGINE_set_finish_function                                     4667
  UI_method_set_prompt_constructor                               4667
  aes_192_wrap_get_params                                        4667
  aria_128_cfb_get_params                                        4667
  aria_192_gcm_get_params                                        4708
  ossl_random_add_conf_module                                    4708
  sm4_128_ecb_get_params                                         4708
  sm4_128_gcm_get_params                                         4708
  sm4_128_xts_get_params                                         4708
  tiny_try_realloc_in_place                                      4708
  EVP_aes_256_cbc_hmac_sha256                                    4709
  OSSL_STORE_LOADER_set_error                                    4709
  sm4_128_cfb128_get_params                                      4709
  aes_256_wrap_get_params                                        4750
  aes_256_wrappad_get_params                                     4750
  tdes_ede2_ecb_get_params                                       4750
  OSSL_STORE_LOADER_set_open                                     4791
  ossl_ctx_global_properties_new                                 4791
  sm4_128_ccm_get_params                                         4791
  tdes_ede3_cfb_get_params                                       4791
  OSSL_STORE_LOADER_set_close                                    4792
  aes_256_gcm_get_params                                         4792
  aes_cts_192_cbc_get_params                                     4792
  camellia_192_ecb_get_params                                    4792
  ENGINE_load_builtin_engines                                    4833
  EVP_KEM_do_all_provided                                        4833
  aes_128_wrappad_get_params                                     4833
  aes_192_wrappad_get_params                                     4833
  def_is_number                                                  4833
  OSSL_STORE_LOADER_set_load                                     4834
  OSSL_STORE_LOADER_free                                         4875
  ossl_prov_ctx_set0_core_bio_method                             4875
  ossl_provider_add_conf_module                                  4875
  sm4_128_ofb128_get_params                                      4875
  aes_256_cfb8_get_params                                        4916
  aes_cts_128_cbc_get_params                                     4916
  tdes_ede2_ofb_get_params                                       4916
  Diagnostics::clearError()                                      4917
  aes_128_siv_get_params                                         4917
  aes_256_ecb_get_params                                         4917
  aes_256_xts_get_params                                         4917
  ccaes_arm_encrypt_key256                                       4917
  ossl_indicator_set_callback_new                                4917
  tdes_ede2_cbc_get_params                                       4917
  tdes_ede3_cfb8_get_params                                      4917
  aria_256_ccm_get_params                                        4958
  aria_256_ecb_get_params                                        4958
  camellia_128_cfb_get_params                                    4958
  aria_256_gcm_get_params                                        4959
  tdes_ede2_cfb_get_params                                       4959
  aes_192_wrapinv_get_params                                     5000
  camellia_192_ctr_get_params                                    5000
  camellia_256_ctr_get_params                                    5000
  ossl_free_compression_methods_int                              5000
  ossl_store_register_init                                       5000
  EVP_aes_128_cbc_hmac_sha256                                    5041
  aes_128_wrap_get_params                                        5041
  aes_256_ocb_get_params                                         5041
  camellia_128_ecb_get_params                                    5041
  CRYPTO_secure_clear_free                                       5042
  aes_key_expansion                                              5042
  aria_192_ccm_get_params                                        5042
  camellia_128_cfb8_get_params                                   5042
  camellia_256_ofb_get_params                                    5042
  lsl::Lock::unlock()                                            5042
  tdes_ede3_ofb_get_params                                       5042
  EVP_aes_128_cbc_hmac_sha1                                      5083
  __fcntl                                                        5083
  camellia_128_cbc_get_params                                    5083
  camellia_192_cfb8_get_params                                   5083
  OSSL_STORE_LOADER_set_expect                                   5084
  ossl_indicator_set_callback_free                               5084
  aes_cts_256_cbc_get_params                                     5125
  camellia_128_cfb1_get_params                                   5125
  camellia_192_ofb_get_params                                    5125
  tdes_ede3_cfb1_get_params                                      5125
  aria_128_ccm_get_params                                        5167
  aria_128_cfb1_get_params                                       5167
  camellia_256_cbc_get_params                                    5167
  camellia_256_cfb_get_params                                    5167
  camellia_256_ecb_get_params                                    5167
  engine_pkey_meths_free                                         5167
  ossl_self_test_set_callback_new                                5167
  aes_256_wrapinv_get_params                                     5208
  ossl_prov_ctx_get0_core_bio_method                             5208
  tdes_ede3_ecb_get_params                                       5208
  ossl_self_test_set_callback_free                               5209
  memset                                                         5249
  RAND_OpenSSL                                                   5250
  medium_region_for_ptr_no_lock                                  5250
  aes_128_wrapinv_get_params                                     5291
  aes_256_wrappadinv_get_params                                  5291
  camellia_192_cfb_get_params                                    5291
  camellia_256_cfb8_get_params                                   5333
  camellia_cts_192_cbc_get_params                                5333
  engine_remove_dynamic_id                                       5333
